"id","user_type/id","reconcile","code","type","name","parent_id/id"
"__export__.account_account_174","__export__.account_account_type_30","False","53100","View","Equipment Hire - COS","__export__.account_account_85"
"__export__.account_account_246","l10n_au_manufacturing.account_type_cost_of_sales","False","53110","Regular","Equipment Hire","__export__.account_account_174"
"__export__.account_account_175","__export__.account_account_type_30","False","51100","View","Direct Costs","__export__.account_account_85"
"__export__.account_account_176","l10n_au_manufacturing.account_type_cost_of_sales","False","51110","Regular","Direct Wages","__export__.account_account_175"
"__export__.account_account_90","l10n_au_manufacturing.account_type_cost_of_sales","False","51120","Regular","Material Purchases","__export__.account_account_175"
"__export__.account_account_178","l10n_au_manufacturing.account_type_cost_of_sales","False","51140","Regular","Direct Superannuation","__export__.account_account_175"
"__export__.account_account_214","l10n_au_manufacturing.account_type_cost_of_sales","False","51130","Regular","Other Employment Costs","__export__.account_account_175"
"__export__.account_account_179","l10n_au_manufacturing.account_type_cost_of_sales","False","51150","Regular","WorkCover Insurances","__export__.account_account_175"
"__export__.account_account_247","__export__.account_account_type_30","False","52100","View","Product / Consignment","__export__.account_account_85"
"__export__.account_account_248","l10n_au_manufacturing.account_type_cost_of_sales","False","52110","Regular","Orona Lifts","__export__.account_account_247"
"__export__.account_account_96","__export__.account_account_type_30","False","60000","View","Expenses","__export__.account_account_72"
"__export__.account_account_180","__export__.account_account_type_30","False","61100","View","Administration Expenses","__export__.account_account_96"
"__export__.account_account_181","l10n_au_manufacturing.account_type_expense","False","61110","Regular","Bad Debts","__export__.account_account_180"
"__export__.account_account_182","l10n_au_manufacturing.account_type_expense","False","61120","Regular","Director Fees","__export__.account_account_180"
"__export__.account_account_183","l10n_au_manufacturing.account_type_expense","False","61130","Regular","Accountancy & Bookkeeping","__export__.account_account_180"
"__export__.account_account_192","l10n_au_manufacturing.account_type_expense","False","61170","Regular","Subscriptions & Memberships","__export__.account_account_180"
"__export__.account_account_131","l10n_au_manufacturing.account_type_expense","False","61180","Regular","Travel & Entertainment","__export__.account_account_180"
"__export__.account_account_190","l10n_au_manufacturing.account_type_expense","False","61190","Regular","Fines & Penalty","__export__.account_account_180"
"__export__.account_account_184","l10n_au_manufacturing.account_type_expense","False","61150","Regular","Legal Fees","__export__.account_account_180"
"__export__.account_account_100","l10n_au_manufacturing.account_type_expense","False","61160","Regular","Depreciation Expenses","__export__.account_account_180"
"__export__.account_account_185","l10n_au_manufacturing.account_type_expense","False","61140","Regular","Advertising & Marketing","__export__.account_account_180"
"__export__.account_account_195","__export__.account_account_type_30","False","64100","View","Motor Vehicle Expenses","__export__.account_account_96"
"__export__.account_account_196","l10n_au_manufacturing.account_type_expense","False","64110","Regular","MVX - Fuel & Oils","__export__.account_account_195"
"__export__.account_account_197","l10n_au_manufacturing.account_type_expense","False","64120","Regular","MVX - Repairs & Maintenance","__export__.account_account_195"
"__export__.account_account_198","l10n_au_manufacturing.account_type_expense","False","64130","Regular","MVX - Rego & Insurance","__export__.account_account_195"
"__export__.account_account_199","l10n_au_manufacturing.account_type_expense","False","64140","Regular","MVX - Tolls & Parking","__export__.account_account_195"
"__export__.account_account_200","l10n_au_manufacturing.account_type_expense","False","64150","Regular","MVX - Others","__export__.account_account_195"
"__export__.account_account_201","__export__.account_account_type_30","False","67100","View","Workshop/Factory Expenses","__export__.account_account_96"
"__export__.account_account_202","l10n_au_manufacturing.account_type_expense","False","67110","Regular","Consumables","__export__.account_account_201"
"__export__.account_account_203","l10n_au_manufacturing.account_type_expense","False","67120","Regular","Tools - non asset","__export__.account_account_201"
"__export__.account_account_204","l10n_au_manufacturing.account_type_expense","False","67130","Regular","Repairs & Maintenance","__export__.account_account_201"
"__export__.account_account_104","l10n_au_manufacturing.account_type_expense","False","67140","Regular","Freight - General","__export__.account_account_201"
"__export__.account_account_187","__export__.account_account_type_30","False","66100","View","Finance Expenses","__export__.account_account_96"
"__export__.account_account_251","l10n_au_manufacturing.account_type_expense","False","66110","Regular","Bank Charges","__export__.account_account_187"
"__export__.account_account_252","l10n_au_manufacturing.account_type_expense","False","66120","Regular","VISA","__export__.account_account_187"
"__export__.account_account_253","l10n_au_manufacturing.account_type_expense","False","66130","Regular","Interest on Loans ","__export__.account_account_187"
"__export__.account_account_105","l10n_au_manufacturing.account_type_expense","False","66140","Regular","Insurance","__export__.account_account_187"
"__export__.account_account_115","__export__.account_account_type_30","False","63100","View","Office Expenses","__export__.account_account_96"
"__export__.account_account_188","l10n_au_manufacturing.account_type_expense","False","63110","Regular","Computer Related Expenses","__export__.account_account_115"
"__export__.account_account_193","l10n_au_manufacturing.account_type_expense","False","63150","Regular","Cleaning & Rubbish Removal","__export__.account_account_115"
"__export__.account_account_126","l10n_au_manufacturing.account_type_expense","False","63160","Regular","Telephone & Fax Expenses","__export__.account_account_115"
"__export__.account_account_194","l10n_au_manufacturing.account_type_expense","False","63130","Regular","Office Repairs & Maintenance","__export__.account_account_115"
"__export__.account_account_186","l10n_au_manufacturing.account_type_expense","False","63140","Regular","Internet","__export__.account_account_115"
"__export__.account_account_116","__export__.account_account_type_30","False","62100","View","Employment Expenses","__export__.account_account_96"
"__export__.account_account_191","l10n_au_manufacturing.account_type_expense","False","63120","Regular","Postage-At Date","__export__.account_account_115"
"__export__.account_account_205","l10n_au_manufacturing.account_type_expense","False","62120","Regular","Staff Medical","__export__.account_account_116"
"__export__.account_account_206","l10n_au_manufacturing.account_type_expense","False","62130","Regular","Staff Training / Seminar","__export__.account_account_116"
"__export__.account_account_207","l10n_au_manufacturing.account_type_expense","False","62160","Regular","Safety Workwear","__export__.account_account_116"
"__export__.account_account_117","l10n_au_manufacturing.account_type_expense","False","62170","Regular","Staff Amenities","__export__.account_account_116"
"__export__.account_account_118","l10n_au_manufacturing.account_type_expense","False","62140","Regular","Superannuation","__export__.account_account_116"
"__export__.account_account_119","l10n_au_manufacturing.account_type_expense","False","62110","Regular","Wages & Salaries","__export__.account_account_116"
"__export__.account_account_120","l10n_au_manufacturing.account_type_expense","False","62150","Regular",'"Workers'' Compensation"',"__export__.account_account_116"
"__export__.account_account_208","__export__.account_account_type_30","False","65100","View","Occupancy Costs","__export__.account_account_96"
"__export__.account_account_209","l10n_au_manufacturing.account_type_expense","False","65110","Regular","Rent","__export__.account_account_208"
"__export__.account_account_210","l10n_au_manufacturing.account_type_expense","False","65120","Regular","Rates & Outgoings","__export__.account_account_208"
"__export__.account_account_130","l10n_au_manufacturing.account_type_expense","False","65130","Regular","Water Rates","__export__.account_account_208"
"__export__.account_account_128","l10n_au_manufacturing.account_type_expense","False","65140","Regular","Electricity & Gas","__export__.account_account_208"
"__export__.account_account_134","__export__.account_account_type_31","False","70000","View","Other Income","__export__.account_account_72"
"__export__.account_account_211","l10n_au_manufacturing.account_type_other_income","False","71000","Regular","Misc Income","__export__.account_account_134"
"__export__.account_account_136","__export__.account_account_type_30","False","80000","View","Other Expenses","__export__.account_account_72"
"__export__.account_account_213","l10n_au_manufacturing.account_type_other_expense","False","81000","Regular","SUSPENSE","__export__.account_account_136"
"__export__.account_account_212","l10n_au_manufacturing.account_type_other_expense","False","82000","Regular","Misc Expenses","__export__.account_account_136"
